category,source_file,source_column,output_column,frequency,aggregation,availability_rule,role,include,reason
macro_fred,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/fred_macro_monthly.csv,fed_interest_rate,fed_interest_rate,monthly,as_is,native_month,feature,True,
macro_fred,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/fred_macro_monthly.csv,germany_10y_bund_yield,germany_10y_bund_yield,monthly,as_is,native_month,feature,True,
macro_fred,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/fred_macro_monthly.csv,germany_exports,germany_exports,monthly,as_is,native_month,feature,True,
macro_fred,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/fred_macro_monthly.csv,germany_manufacturing_order_books,germany_manufacturing_order_books,monthly,as_is,native_month,feature,True,
macro_fred,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/fred_macro_monthly.csv,india_10y_yield,india_10y_yield,monthly,as_is,native_month,feature,True,
macro_fred,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/fred_macro_monthly.csv,india_call_money_rate,india_call_money_rate,monthly,as_is,native_month,feature,True,
macro_fred,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/fred_macro_monthly.csv,india_industrial_production,india_industrial_production,monthly,as_is,native_month,feature,True,
macro_fred,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/fred_macro_monthly.csv,indonesia_call_money_rate,indonesia_call_money_rate,monthly,as_is,native_month,feature,True,
macro_fred,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/fred_macro_monthly.csv,indonesia_exports,indonesia_exports,monthly,as_is,native_month,feature,True,
macro_fred,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/fred_macro_monthly.csv,indonesia_reer,indonesia_reer,monthly,as_is,native_month,feature,True,
macro_fred,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/fred_macro_monthly.csv,japan_10y_yield,japan_10y_yield,monthly,as_is,native_month,feature,True,
macro_fred,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/fred_macro_monthly.csv,japan_manufacturing_growth,japan_manufacturing_growth,monthly,as_is,native_month,feature,True,
macro_fred,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/fred_macro_monthly.csv,korea_10y_yield,korea_10y_yield,monthly,as_is,native_month,feature,True,
macro_fred,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/fred_macro_monthly.csv,korea_call_money_rate,korea_call_money_rate,monthly,as_is,native_month,feature,True,
macro_fred,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/fred_macro_monthly.csv,korea_exports,korea_exports,monthly,as_is,native_month,feature,True,
macro_fred,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/fred_macro_monthly.csv,korea_industrial_production,korea_industrial_production,monthly,as_is,native_month,feature,True,
macro_fred,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/fred_macro_monthly.csv,m2_money_supply,m2_money_supply,monthly,as_is,native_month,feature,True,
macro_fred,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/fred_macro_monthly.csv,natural_gas_usd,natural_gas_usd,monthly,as_is,native_month,feature,True,
macro_fred,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/fred_macro_monthly.csv,us_10y_2y_spread,us_10y_2y_spread,monthly,as_is,native_month,feature,True,
macro_fred,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/fred_macro_monthly.csv,us_10y_treasury_yield,us_10y_treasury_yield,monthly,as_is,native_month,feature,True,
macro_fred,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/fred_macro_monthly.csv,us_2y_yield,us_2y_yield,monthly,as_is,native_month,feature,True,
macro_fred,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/fred_macro_monthly.csv,us_cpi_index,us_cpi_index,monthly,as_is,native_month,feature,True,
macro_fred,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/fred_macro_monthly.csv,us_housing_starts,us_housing_starts,monthly,as_is,native_month,feature,True,
macro_fred,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/fred_macro_monthly.csv,us_industrial_production,us_industrial_production,monthly,as_is,native_month,feature,True,
macro_fred,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/fred_macro_monthly.csv,us_ppi,us_ppi,monthly,as_is,native_month,feature,True,
