horizon,expert,observations,mae,rmse,mape_pct,smape_pct,bias,directional_accuracy_pct
4,elasticnet_8y,16,982.1269031935683,1263.712805461475,7.9540882572764895,8.325096765744881,-534.0238782753047,81.25
4,elasticnet_10y,16,996.5602943560436,1174.519836620834,8.380989336983678,8.876924685682958,-996.5602943560436,50.0
4,arima_5y,16,1034.6284189811054,1319.5930616793332,8.48111071289579,9.086959970641,-998.9715599839745,75.0
4,arima_8y,16,1041.942388720489,1308.4141781962405,8.538907812817264,9.131609923986064,-975.9498299266784,68.75
4,arima_10y,16,1046.092546546115,1309.624193998462,8.57465275278488,9.16703780042238,-984.7070882049003,68.75
4,naive,16,1107.0207053526026,1372.4416978619483,9.05629082003544,9.709557616973335,-1107.0207053526026,0.0
4,sarimax_5y,16,1124.0856657390564,1392.4396195946972,9.165757581195052,9.834962618035522,-1111.9233058759773,56.25
4,ridge_5y,16,2213.7455986919676,2493.43715316671,17.85614474189496,20.011715103272813,-2213.7455986919676,6.25
4,elasticnet_5y,16,2347.323904577354,2626.0076691260756,18.91474745117259,21.299040411812413,-2347.323904577354,0.0
5,ridge_10y,15,845.6230806576872,1234.8019565988222,6.5349080564845465,6.312524410037303,414.78253041224525,93.33333333333333
5,ridge_8y,15,834.0288109873358,1169.3956094353503,6.583089633935538,6.468604660465386,198.79609394768693,93.33333333333333
5,elasticnet_8y,15,849.5240506964528,999.4157373196307,6.90120224002935,7.208460684787532,-718.3591394233758,100.0
5,sarimax_10y,15,1064.101576105814,1348.6354637464542,8.697517345814779,9.214044470196283,-628.292293585121,73.33333333333333
5,sarimax_8y,15,1189.11909751764,1409.8070276040573,9.81430023046037,10.503396145849894,-1066.9449561919714,66.66666666666666
5,elasticnet_10y,15,1216.830167694673,1423.1273927522816,9.915221074482975,10.609090290385444,-1216.830167694673,73.33333333333333
5,arima_5y,15,1342.4800550714062,1667.9613542882987,10.89616563917306,11.85237320250122,-1295.7553003499954,66.66666666666666
5,arima_8y,15,1353.096090789188,1663.4035692951006,10.973987263236456,11.9211810981024,-1274.013256284652,60.0
5,arima_10y,15,1357.5907738831525,1663.1913758951848,11.014723345528271,11.95973766406944,-1283.4221798613858,60.0
5,naive,15,1416.2916095189669,1699.1455839130965,11.477228615685615,12.472873560887185,-1404.9287523761095,0.0
5,sarimax_5y,15,1670.2942751002997,1944.9666126904729,13.46324952616543,14.759180084620729,-1631.8609999375888,20.0
5,ridge_5y,15,2308.7910405506473,2542.787486644104,18.501542811407777,20.72130496273147,-2308.7910405506473,13.333333333333334
5,elasticnet_5y,15,2492.7974387185727,2733.8179533527687,19.986986170666718,22.56057145740535,-2492.7974387185727,6.666666666666667
6,ridge_10y,14,735.556908381987,922.3018983024776,6.03369172454003,6.075465440409991,-39.66622694019264,100.0
6,ridge_8y,14,1014.9503424368833,1333.6365630070504,8.173677981940445,8.725050762956903,-758.9160643597106,100.0
6,sarimax_8y,14,1456.9391444966184,1805.7506065365933,11.57083209700253,12.636336989100586,-1262.438559001452,78.57142857142857
6,elasticnet_8y,14,1455.4465339546514,1680.5147953563335,11.581465867361281,12.524424140654455,-1455.4465339546514,71.42857142857143
6,sarimax_10y,14,1545.5454008311488,1942.0125221498145,12.322563562605863,13.454741655699587,-1126.366439397502,78.57142857142857
6,arima_8y,14,1587.7114345473217,1919.108244888016,12.674390103651673,13.95026007319173,-1539.7988267142573,71.42857142857143
6,arima_5y,14,1588.49125863545,1930.6299827667217,12.691636335833193,13.986139110418645,-1570.2506082082764,78.57142857142857
6,arima_10y,14,1592.289176787328,1917.3479815769344,12.720001327923708,13.989991180690192,-1549.641826614373,71.42857142857143
6,elasticnet_10y,14,1611.6745433698875,1843.3032906964938,12.789832715291885,13.929997920794015,-1611.6745433698875,64.28571428571429
6,sarimax_5y,14,1670.6255314792027,2025.8976823226096,13.311426346201394,14.724813328877282,-1660.8355584498565,78.57142857142857
6,naive,14,1695.6550330807727,1970.6464073649056,13.59820495361971,14.936780574096705,-1695.6550330807727,0.0
6,ridge_5y,14,2594.2849078973363,2840.972505839673,20.550096252297365,23.292154028944644,-2594.2849078973363,7.142857142857142
6,elasticnet_5y,14,2695.3172644550696,2932.8248088631244,21.40744266600691,24.348665810676664,-2695.3172644550696,0.0
7,ridge_10y,13,727.9805082158732,932.1582345167852,6.006083604262476,6.176316104622071,-334.43923514827196,100.0
7,sarimax_8y,13,1061.1750641270655,1302.0210297373087,8.298156173184172,8.476802143556544,-488.09508768332756,100.0
7,sarimax_10y,13,1088.3647421399087,1237.4039479264682,8.592464814597225,8.911613379829472,-593.333134803753,100.0
7,ridge_8y,13,1422.1241498761733,1698.6717859826338,11.328512279403741,12.256702914755149,-1249.4635454433137,92.3076923076923
7,elasticnet_8y,13,1843.500705490735,2064.248460299399,14.449614315858394,15.836278135922658,-1756.860702405725,76.92307692307693
