horizon,expert,observations,mae,rmse,mape_pct,bias,directional_accuracy_pct
12,elasticnet_8y,5,3519.818559777342,3550.432851415437,25.861125453981053,-3519.818559777342,100.0
12,weighted_ensemble,5,3585.851805484816,3606.337092907489,26.38068363893251,-3585.851805484816,100.0
12,elasticnet_10y,5,3584.258606636237,3593.5716080395378,26.392899484319827,-3584.258606636237,100.0
12,xgboost_return_5y,5,3662.6950548052528,3693.5756640010372,26.922376041672084,-3662.6950548052528,100.0
12,simple_ensemble,5,3727.201887178322,3747.9302214095983,27.420814352103047,-3727.201887178322,100.0
12,lightgbm_return_5y,5,3837.46758810476,3896.7581204719213,28.172604932072154,-3837.46758810476,80.0
12,naive,5,3970.803081897762,3988.2412148537464,29.22326989951584,-3970.803081897762,0.0
12,arima_10y,5,3991.0490531783653,4015.474546555152,29.38897262116331,-3991.0490531783653,40.0
12,arima_5y,5,4014.0696778715187,4038.3410162572923,29.566043812886615,-4014.0696778715187,20.0
12,arima_8y,5,4018.3266430715726,4044.7193271077745,29.59862251661199,-4018.3266430715726,40.0
12,lightgbm_5y,5,4164.0411541966,4195.479007178518,30.619713909588924,-4164.0411541966,0.0
12,ridge_5y,5,4358.6494376393675,4390.903853481761,32.03629389038865,-4358.6494376393675,20.0
12,elasticnet_5y,5,4387.0474990110615,4413.770569364652,32.25704284491203,-4387.0474990110615,0.0
12,lightgbm_10y,5,4521.641091818876,4535.682889360565,33.287739217629955,-4521.641091818876,0.0
12,lightgbm_8y,5,4726.797165839003,4752.936853914503,34.75846544426545,-4726.797165839003,0.0
12,sarimax_5y,5,5004.726644361495,5074.374848764277,36.755027838343466,-5004.726644361495,0.0
