model,horizon,origin_date,expert,prior_mae,prior_observations,weight
top5_weighted_ensemble,1,2026-03-31,elasticnet_8y,459.5194536660965,14,0.20281337840767222
top5_weighted_ensemble,1,2026-03-31,arima_5y,473.1389053241996,14,0.19697533175435633
top5_weighted_ensemble,1,2026-03-31,lightgbm_return_10y,474.77461381069446,14,0.19629670612357983
top5_weighted_ensemble,1,2026-03-31,arima_10y,485.58176102308477,14,0.19192791064849546
top3_simple_ensemble,1,2026-04-30,naive,436.48554834054846,15,0.3333333333333333
top3_simple_ensemble,1,2026-04-30,elasticnet_8y,444.8526614709335,15,0.3333333333333333
top3_simple_ensemble,1,2026-04-30,elasticnet_10y,467.92589681558724,15,0.3333333333333333
top3_weighted_ensemble,1,2026-04-30,naive,436.48554834054846,15,0.34317085197061914
top3_weighted_ensemble,1,2026-04-30,elasticnet_8y,444.8526614709335,15,0.3367162444339801
top3_weighted_ensemble,1,2026-04-30,elasticnet_10y,467.92589681558724,15,0.3201129035954007
top5_simple_ensemble,1,2026-04-30,naive,436.48554834054846,15,0.2
top5_simple_ensemble,1,2026-04-30,elasticnet_8y,444.8526614709335,15,0.2
top5_simple_ensemble,1,2026-04-30,elasticnet_10y,467.92589681558724,15,0.2
top5_simple_ensemble,1,2026-04-30,lightgbm_return_10y,468.34606317891377,15,0.2
top5_simple_ensemble,1,2026-04-30,arima_5y,474.5957437314336,15,0.2
top5_weighted_ensemble,1,2026-04-30,naive,436.48554834054846,15,0.20983398075705262
top5_weighted_ensemble,1,2026-04-30,elasticnet_8y,444.8526614709335,15,0.20588727028948237
top5_weighted_ensemble,1,2026-04-30,elasticnet_10y,467.92589681558724,15,0.19573505286769638
top5_weighted_ensemble,1,2026-04-30,lightgbm_return_10y,468.34606317891377,15,0.19555945347271272
top5_weighted_ensemble,1,2026-04-30,arima_5y,474.5957437314336,15,0.192984242613056
top3_simple_ensemble,1,2026-05-31,naive,447.6899877534747,16,0.3333333333333333
top3_simple_ensemble,1,2026-05-31,elasticnet_8y,448.7732182747134,16,0.3333333333333333
top3_simple_ensemble,1,2026-05-31,elasticnet_10y,469.3204386829698,16,0.3333333333333333
top3_weighted_ensemble,1,2026-05-31,naive,447.6899877534747,16,0.33881107655383436
top3_weighted_ensemble,1,2026-05-31,elasticnet_8y,448.7732182747134,16,0.33799326817288944
top3_weighted_ensemble,1,2026-05-31,elasticnet_10y,469.3204386829698,16,0.3231956552732761
top5_simple_ensemble,1,2026-05-31,naive,447.6899877534747,16,0.2
top5_simple_ensemble,1,2026-05-31,elasticnet_8y,448.7732182747134,16,0.2
top5_simple_ensemble,1,2026-05-31,elasticnet_10y,469.3204386829698,16,0.2
top5_simple_ensemble,1,2026-05-31,arima_5y,477.6011959507814,16,0.2
top5_simple_ensemble,1,2026-05-31,lightgbm_return_10y,491.0767971960289,16,0.2
top5_weighted_ensemble,1,2026-05-31,naive,447.6899877534747,16,0.20831080930424253
top5_weighted_ensemble,1,2026-05-31,elasticnet_8y,448.7732182747134,16,0.20780799715470127
top5_weighted_ensemble,1,2026-05-31,elasticnet_10y,469.3204386829698,16,0.19870999849939588
top5_weighted_ensemble,1,2026-05-31,arima_5y,477.6011959507814,16,0.19526471972250645
