feature,category,frequency,aggregation,feature_lag_months,paired_observations,pearson_correlation,abs_pearson_correlation,spearman_correlation,abs_spearman_correlation
global_economic_policy_uncertainty_index,risk,monthly,as_is,12,128,0.7013339605594784,0.7013339605594784,0.6231917231276323,0.6231917231276323
global_economic_policy_uncertainty_ppp_index,risk,monthly,as_is,12,128,0.6996811563323193,0.6996811563323193,0.6396264420435818,0.6396264420435818
icsg_mine_production_ton,icsg,annual,repeat_within_year,6,86,0.698791914722303,0.698791914722303,0.692283872496635,0.692283872496635
japan_10y_yield,macro_fred,monthly,as_is,12,128,0.6978046247277842,0.6978046247277842,0.45185114350982986,0.45185114350982986
boj_call_rate,global_macro,monthly,as_is,2,138,0.6974443937045832,0.6974443937045832,0.46367146206868204,0.46367146206868204
icsg_refined_production_ton,icsg,annual,repeat_within_year,6,86,0.6954406353692296,0.6954406353692296,0.6218763109890386,0.6218763109890386
peru_diesel_price_index,peru_cost_drivers,monthly,as_is,1,139,0.6945907332347176,0.6945907332347176,0.7075553521291809,0.7075553521291809
turkey_exports_usd,turkey,monthly,as_is,12,128,0.6928000853286725,0.6928000853286725,0.6723413752060061,0.6723413752060061
usd_jpy,macro_fred,monthly,as_is,2,138,0.6926446825143683,0.6926446825143683,0.5486644641760409,0.5486644641760409
baltic_dry_index,shipping,daily,monthly_mean,0,140,0.6921514159929418,0.6921514159929418,0.7679779580590848,0.7679779580590848
platinum_usd_per_troy_ounce,commodities,monthly,as_is,1,139,0.6900812407327069,0.6900812407327069,0.4623541558144229,0.4623541558144229
indonesia_exports,macro_fred,monthly,as_is,12,128,0.689491520474024,0.689491520474024,0.6438381248855521,0.6438381248855521
usa_sp500_freeport_mcmoran,equities_companies,monthly,as_is,12,128,0.6880224084830573,0.6880224084830573,0.6239814136605017,0.6239814136605017
wti_usd_per_barrel,commodities,monthly,as_is,0,139,0.6868769997219868,0.6868769997219868,0.7579272163008173,0.7579272163008173
chile_sulfuric_acid_import_ton,chile_cochilco,annual,repeat_within_year,2,120,0.6862581604784825,0.6862581604784825,0.6826118850766173,0.6826118850766173
uk_ftse100,equities_indices,monthly,as_is,6,134,0.6852937447967149,0.6852937447967149,0.5489320315714661,0.5489320315714661
boj_call_rate,global_macro,monthly,as_is,3,137,0.6845700030071896,0.6845700030071896,0.4433419829372561,0.4433419829372561
icsg_mine_production_ton,icsg,annual,repeat_within_year,12,80,0.6840013064927016,0.6840013064927016,0.6644300835695784,0.6644300835695784
platinum_usd_per_troy_ounce,commodities,monthly,as_is,0,139,0.6837991758671804,0.6837991758671804,0.4865360641928407,0.4865360641928407
chile_sulfuric_acid_consumption_ton,chile_cochilco,annual,repeat_within_year,2,120,0.6821061188216626,0.6821061188216626,0.6118380147833974,0.6118380147833974
us_ppi,macro_fred,monthly,as_is,12,128,0.6803871215294354,0.6803871215294354,0.6065682591987221,0.6065682591987221
platinum_usd_per_troy_ounce,commodities,monthly,as_is,2,138,0.6782246194713948,0.6782246194713948,0.42956561469517285,0.42956561469517285
chile_concentrator_electricity_mj_per_ton,chile_cochilco,annual,repeat_within_year,0,120,0.6767007530404551,0.6767007530404551,0.6556424339116269,0.6556424339116269
usd_jpy,macro_fred,monthly,as_is,3,137,0.6766704532780125,0.6766704532780125,0.5170720779584445,0.5170720779584445
euro_area_ppi,global_macro,monthly,as_is,6,134,0.6758090159644722,0.6758090159644722,0.6630020186320007,0.6630020186320007
icsg_refined_usage_ton,icsg,annual,repeat_within_year,12,80,0.6742622690323018,0.6742622690323018,0.5231285210817392,0.5231285210817392
chile_average_copper_ore_grade_pct,chile_cochilco,annual,repeat_within_year,0,120,-0.6739875912105564,0.6739875912105564,-0.7343731298591141,0.7343731298591141
baltic_dry_index,shipping,daily,monthly_mean,1,139,0.6737738911790728,0.6737738911790728,0.7560972340140308,0.7560972340140308
chile_concentrator_electricity_mj_per_ton,chile_cochilco,annual,repeat_within_year,1,120,0.6718814220854066,0.6718814220854066,0.6650231125777104,0.6650231125777104
poland_wig20,equities_indices,monthly,as_is,0,140,0.6711800145802642,0.6711800145802642,0.48660645951324055,0.48660645951324055
zinc_cash_usd_per_ton,other_metals,daily,monthly_mean,1,139,0.6709925895715844,0.6709925895715844,0.720577326958309,0.720577326958309
platinum_usd_per_troy_ounce,commodities,monthly,as_is,3,137,0.6702192210640362,0.6702192210640362,0.4062778575963729,0.4062778575963729
korea_10y_yield,macro_fred,monthly,as_is,0,138,0.669366572963231,0.669366572963231,0.6560872533328461,0.6560872533328461
brent_oil_usd,macro_fred,monthly,as_is,0,139,0.6665684995054845,0.6665684995054845,0.7261405782206531,0.7261405782206531
chile_concentrator_electricity_mj_per_ton,chile_cochilco,annual,repeat_within_year,2,120,0.6660683982224391,0.6660683982224391,0.6725611579343848,0.6725611579343848
chile_average_copper_ore_grade_pct,chile_cochilco,annual,repeat_within_year,1,120,-0.6636526024315592,0.6636526024315592,-0.7084925074678656,0.7084925074678656
uk_ftse100_glencore,equities_companies,monthly,as_is,2,138,0.6620925157921208,0.6620925157921208,0.6497537609392016,0.6497537609392016
peru_diesel_price_index,peru_cost_drivers,monthly,as_is,2,138,0.6620383640120718,0.6620383640120718,0.6822655614831614,0.6822655614831614
australia_asx200_bhp,equities_companies,monthly,as_is,12,128,0.6612834024188607,0.6612834024188607,0.677874931331258,0.677874931331258
is_estimate,usgs,annual,repeat_within_year,12,116,0.6604127001627146,0.6604127001627146,0.438910173575673,0.438910173575673
chile_concentrator_electricity_mj_per_ton,chile_cochilco,annual,repeat_within_year,3,120,0.6591241110913437,0.6591241110913437,0.676748960910315,0.676748960910315
chile_open_pit_fuel_mj_per_ton,chile_cochilco,annual,repeat_within_year,6,120,0.6554798332957332,0.6554798332957332,0.5210464462652313,0.5210464462652313
boj_call_rate,global_macro,monthly,as_is,6,134,0.6553776618636371,0.6553776618636371,0.40009725807054947,0.40009725807054947
chile_open_pit_fuel_mj_per_ton,chile_cochilco,annual,repeat_within_year,0,120,0.6545185954956668,0.6545185954956668,0.49524957993350155,0.49524957993350155
chile_sulfuric_acid_import_ton,chile_cochilco,annual,repeat_within_year,3,120,0.6544366021828368,0.6544366021828368,0.6490257052096572,0.6490257052096572
germany_10y_bund_yield,macro_fred,monthly,as_is,0,138,0.651776442718988,0.651776442718988,0.5125248722287142,0.5125248722287142
chile_average_copper_ore_grade_pct,chile_cochilco,annual,repeat_within_year,2,120,-0.6515360151521983,0.6515360151521983,-0.6857108592788056,0.6857108592788056
chile_sulfuric_acid_production_ton,chile_cochilco,annual,repeat_within_year,0,120,-0.6503409749642659,0.6503409749642659,-0.6240663994731135,0.6240663994731135
baltic_dry_index,shipping,daily,monthly_mean,2,138,0.6496804027779017,0.6496804027779017,0.7420620152560908,0.7420620152560908
chile_open_pit_fuel_mj_per_ton,chile_cochilco,annual,repeat_within_year,1,120,0.6477927765261803,0.6477927765261803,0.482267390708118,0.482267390708118
japan_industrial_production,global_macro,monthly,as_is,6,134,-0.6474895123764917,0.6474895123764917,-0.696416080643088,0.696416080643088
aluminum_stock_ton,other_metals,daily,month_end_last,0,140,-0.6469276979651154,0.6469276979651154,-0.7302005204347162,0.7302005204347162
peru_usd_pen,peru_cost_drivers,monthly,as_is,12,128,0.6469242121079947,0.6469242121079947,0.6962402164403451,0.6962402164403451
aluminum_stock_ton,other_metals,daily,month_end_last,6,134,-0.6461313685165297,0.6461313685165297,-0.6527537749847255,0.6527537749847255
poland_wig20,equities_indices,monthly,as_is,1,139,0.6459551479605526,0.6459551479605526,0.46894856785379146,0.46894856785379146
is_forecast,icsg,annual,repeat_within_year,12,104,-0.6454038002902643,0.6454038002902643,-0.6367022482986643,0.6367022482986643
turkey_imports_usd,turkey,monthly,as_is,12,128,0.6451261808027012,0.6451261808027012,0.6060760391869621,0.6060760391869621
chile_ipsa,equities_indices,monthly,as_is,12,128,0.6444961069871671,0.6444961069871671,0.4515084233656839,0.4515084233656839
korea_10y_yield,macro_fred,monthly,as_is,1,138,0.6440100753733096,0.6440100753733096,0.6248764238371283,0.6248764238371283
chile_open_pit_fuel_mj_per_ton,chile_cochilco,annual,repeat_within_year,2,120,0.6437254322133416,0.6437254322133416,0.4828536831247483,0.4828536831247483
chile_concentrator_electricity_mj_per_ton,chile_cochilco,annual,repeat_within_year,6,120,0.6431323662610066,0.6431323662610066,0.6847057865645823,0.6847057865645823
