date,delivery_month,open_cny_per_ton,high_cny_per_ton,low_cny_per_ton,close_cny_per_ton,settlement_cny_per_ton,pre_settlement_cny_per_ton,volume_lots,open_interest_lots,open_interest_change,turnover
2017-04-06,1705,47810.0,48300.0,47680.0,47810,47940,47320,247964,191346,2210,
2017-04-07,1705,47900.0,48160.0,46930.0,47130,47640,47940,318632,187952,-3394,
2017-04-10,1705,46820.0,47570.0,46650.0,47050,47130,47640,223444,181914,-6038,
2017-04-11,1706,47170.0,47240.0,46650.0,46670,46860,47290,251984,196172,22104,
2017-04-12,1706,46800.0,47090.0,46150.0,46230,46630,46860,447660,225448,29276,
2017-04-13,1706,46070.0,46550.0,45520.0,46480,46040,46630,511384,229730,4282,
2017-04-14,1706,46150.0,46520.0,45800.0,46110,46160,46040,315686,238902,9172,
2017-04-17,1706,46150.0,47940.0,45960.0,46480,46610,46160,450362,229598,-9304,
2017-04-18,1706,46690.0,46920.0,45740.0,45850,46290,46610,356194,259004,29406,
2017-04-19,1706,45850.0,46100.0,45110.0,45840,45630,46290,501250,256132,-2872,
2017-04-20,1706,45760.0,46140.0,44800.0,45560,45430,45630,596204,253888,-2244,
2017-04-21,1706,45750.0,46120.0,45460.0,46030,45770,45430,391290,248048,-5840,
2017-04-24,1706,45840.0,46060.0,45480.0,45910,45760,45770,352930,236896,-11152,
2017-04-25,1706,45780.0,46360.0,45570.0,46030,45880,45760,329762,226570,-10326,
2017-04-26,1706,46220.0,46450.0,45880.0,46230,46230,45880,262080,218586,-7984,
2017-04-27,1706,46340.0,46510.0,46170.0,46290,46310,46230,219242,214012,-4574,
2017-04-28,1706,46330.0,46470.0,45840.0,46330,46230,46310,313460,196602,-17410,
2017-05-02,1706,46950.0,47100.0,46690.0,46790,46870,46230,141624,186738,-9864,
2017-05-03,1706,46860.0,46940.0,46480.0,46580,46690,46870,130726,185484,-1254,
2017-05-04,1706,45870.0,45970.0,45010.0,45180,45550,46690,309126,182530,-2954,
2017-05-05,1706,45000.0,45280.0,44680.0,44980,45010,45550,244258,187830,5300,
2017-05-08,1706,45000.0,45550.0,44650.0,44670,45080,45010,267810,183304,-4526,
2017-05-09,1707,44620.0,44890.0,44420.0,44730,44700,45050,179390,195048,-936,
2017-05-10,1707,44840.0,45240.0,44730.0,44860,44950,44700,184178,197138,2090,
2017-05-11,1707,44980.0,45330.0,44660.0,45270,44940,44950,259366,200902,3764,
2017-05-12,1707,45510.0,45580.0,44830.0,44930,45030,44940,265148,216568,15666,
2017-05-15,1707,45080.0,45560.0,44900.0,45430,45200,45030,204988,214120,-2448,
2017-05-16,1707,45540.0,45570.0,45030.0,45170,45290,45200,196142,220114,5994,
2017-05-17,1707,45290.0,45650.0,45270.0,45390,45410,45290,226698,211564,-8550,
2017-05-18,1707,45240.0,45480.0,44920.0,44960,45130,45410,251502,224554,12990,
2017-05-19,1707,44650.0,45400.0,44610.0,45300,45130,45130,279650,215514,-9040,
2017-05-22,1707,45570.0,46030.0,45470.0,45800,45810,45130,316766,204386,-11128,
2017-05-23,1707,45980.0,46130.0,45760.0,45770,45950,45810,199768,205984,1598,
2017-05-24,1707,45920.0,46160.0,45510.0,45780,45860,45950,231488,201670,-4314,
2017-05-25,1707,45900.0,46070.0,45730.0,45970,45910,45860,202522,199120,-2550,
2017-05-26,1707,45910.0,46350.0,45850.0,46000,46050,45910,269820,191230,-7890,
2017-05-31,1707,45690.0,45850.0,45170.0,45230,45540,46050,211210,174426,-16804,
2017-06-01,1707,45330.0,45540.0,45080.0,45340,45310,45540,186044,159794,-14632,
2017-06-02,1707,45450.0,45580.0,45250.0,45330,45380,45310,145734,157424,-2370,
2017-06-05,1707,44920.0,45460.0,44860.0,45240,45230,45380,157696,153784,-3640,
2017-06-06,1708,45160.0,45350.0,44900.0,44920,45150,45250,158238,219982,12070,
2017-06-07,1708,44850.0,45300.0,44680.0,44880,45020,45150,277966,223644,3662,
2017-06-08,1708,44980.0,45360.0,44820.0,45260,45070,45020,209292,218882,-4762,
2017-06-09,1708,45530.0,46000.0,45490.0,45930,45750,45070,281390,220604,1722,
2017-06-12,1708,46220.0,46600.0,46110.0,46370,46340,45750,246512,224214,3610,
2017-06-13,1708,46290.0,46340.0,45810.0,45830,46070,46340,197490,223494,-720,
2017-06-14,1708,45650.0,46020.0,45630.0,45960,45800,46070,224422,214510,-8984,
2017-06-15,1708,45850.0,45920.0,45380.0,45600,45650,45800,220290,208066,-6444,
2017-06-16,1708,45550.0,45800.0,45360.0,45490,45570,45650,201860,203636,-4430,
2017-06-19,1708,45590.0,45770.0,45430.0,45680,45600,45570,163648,198308,-5328,
2017-06-20,1708,45830.0,46100.0,45750.0,45840,45910,45600,174480,204040,5732,
2017-06-21,1708,45590.0,45660.0,45360.0,45520,45500,45910,193626,205846,1806,
2017-06-22,1708,45880.0,46250.0,45750.0,45810,45980,45500,232072,197882,-7964,
2017-06-23,1708,46070.0,46720.0,45900.0,46690,46210,45980,229244,209268,11386,
2017-06-26,1708,46640.0,46840.0,46350.0,46820,46540,46210,192652,205720,-3548,
2017-06-27,1708,46680.0,46750.0,46430.0,46720,46570,46540,165084,193436,-12284,
2017-06-28,1708,46690.0,47000.0,46610.0,46920,46820,46570,190654,195242,1806,
2017-06-29,1708,46860.0,47520.0,46770.0,47430,47220,46820,274182,188688,-6554,
2017-06-30,1708,47430.0,47670.0,47230.0,47460,47440,47220,197134,171202,-17486,
2017-07-03,1708,47410.0,47540.0,47250.0,47500,47380,47440,137202,160750,-10452,
2017-07-04,1709,47490.0,47550.0,46930.0,47030,47230,47500,148008,192256,4022,
2017-07-05,1709,47110.0,47360.0,47080.0,47140,47210,47230,121620,197038,4782,
2017-07-06,1709,46870.0,46980.0,46680.0,46960,46830,47210,146812,197406,368,
2017-07-07,1709,46860.0,47150.0,46800.0,47130,46920,46830,123504,202196,4790,
2017-07-10,1709,46910.0,47040.0,46730.0,46770,46860,46920,165672,197104,-5092,
2017-07-11,1709,46680.0,47170.0,46580.0,47050,46840,46860,179100,199104,2000,
2017-07-12,1709,46920.0,47480.0,46850.0,47250,47210,46840,223482,201592,2488,
2017-07-13,1709,47360.0,47520.0,47120.0,47400,47320,47210,149728,203072,1480,
2017-07-14,1709,47440.0,47440.0,46930.0,47160,47150,47320,165950,202554,-518,
2017-07-17,1709,47140.0,47930.0,47120.0,47810,47520,47150,274074,220578,18024,
2017-07-18,1709,47950.0,48050.0,47560.0,47690,47840,47520,204886,212040,-8538,
2017-07-19,1709,47690.0,47980.0,47660.0,47960,47790,47840,155696,216360,4320,
2017-07-20,1709,47860.0,47910.0,47540.0,47790,47750,47790,199886,213556,-2804,
2017-07-21,1709,47810.0,48110.0,47410.0,48000,47800,47750,242490,216742,3186,
2017-07-24,1709,48200.0,48220.0,47720.0,47760,47890,47800,174398,205308,-11434,
2017-07-25,1709,47890.0,48690.0,47790.0,48560,48240,47890,277318,210168,4860,
2017-07-26,1709,49000.0,50730.0,48960.0,50050,49840,48240,513720,213502,3334,
2017-07-27,1709,49980.0,50420.0,49910.0,50040,50150,49840,267478,207324,-6178,
2017-07-28,1709,50210.0,50410.0,49550.0,49940,50010,50150,257912,197566,-9758,
2017-07-31,1709,50060.0,50860.0,49920.0,50710,50340,50010,285858,183196,-14370,
2017-08-01,1709,50330.0,50460.0,50100.0,50180,50320,50340,156298,168870,-14326,
2017-08-02,1709,50160.0,50350.0,49820.0,50030,50070,50320,164890,161664,-7206,
2017-08-03,1710,50200.0,50590.0,49980.0,49980,50330,50220,186936,214520,5690,
2017-08-04,1710,50220.0,50650.0,50110.0,50420,50380,50330,215792,229040,14520,
2017-08-07,1710,50400.0,51060.0,50160.0,50440,50430,50380,313780,230156,1116,
2017-08-08,1710,50460.0,51160.0,50350.0,50450,50760,50430,321062,237376,7220,
2017-08-09,1710,50450.0,51460.0,50450.0,51310,51110,50760,412874,257988,20612,
2017-08-10,1710,51210.0,51370.0,50640.0,50790,50940,51110,287458,237758,-20230,
2017-08-11,1710,50690.0,50730.0,49760.0,49970,50160,50940,376090,221268,-16490,
2017-08-14,1710,50210.0,50480.0,49980.0,50060,50280,50160,225496,224246,2978,
2017-08-15,1710,50200.0,50400.0,50060.0,50330,50240,50280,168522,226518,2272,
2017-08-16,1710,50330.0,50400.0,49880.0,50170,50090,50240,221076,227794,1276,
2017-08-17,1710,50540.0,51680.0,50530.0,51470,51250,50090,425214,234874,7080,
2017-08-18,1710,51090.0,51230.0,50620.0,51060,50910,51250,259318,223958,-10916,
2017-08-21,1710,51100.0,51920.0,50650.0,51650,51200,50910,403734,232220,8262,
2017-08-22,1710,51640.0,52210.0,51370.0,52190,51750,51200,385120,233630,1410,
2017-08-23,1710,52270.0,52330.0,51300.0,51560,51640,51750,330686,217544,-16086,
2017-08-24,1710,51510.0,52150.0,51360.0,51890,51760,51640,291158,220732,3188,
2017-08-25,1710,51860.0,52840.0,51780.0,52770,52440,51760,376636,221250,518,
2017-08-28,1710,52770.0,52970.0,52030.0,52920,52510,52440,343244,210336,-10914,
2017-08-29,1710,52960.0,53050.0,52430.0,52670,52710,52510,246030,195532,-14804,
2017-08-30,1710,52880.0,52980.0,52510.0,52700,52730,52710,235602,189436,-6096,
2017-08-31,1710,52530.0,52880.0,52360.0,52820,52650,52730,212712,183476,-5960,
2017-09-01,1710,52960.0,52960.0,52560.0,52800,52720,52650,176536,170188,-13288,
2017-09-04,1710,52530.0,53400.0,52500.0,53150,53010,52720,215214,165340,-4848,
2017-09-05,1710,53080.0,53700.0,53020.0,53610,53350,53010,159896,164734,-606,
2017-09-06,1710,53400.0,53480.0,52650.0,53160,53110,53350,178124,146292,-18442,
2017-09-07,1711,53130.0,53400.0,52720.0,52790,53050,53220,200062,179950,650,
2017-09-08,1711,52780.0,52910.0,51650.0,51740,52380,53050,323194,178582,-1368,
2017-09-11,1711,51700.0,51830.0,50910.0,51530,51340,52380,290212,180608,2026,
2017-09-12,1711,51760.0,51950.0,51420.0,51700,51680,51340,219924,185900,5292,
2017-09-13,1711,51120.0,51510.0,50980.0,51000,51270,51680,231800,192222,6322,
2017-09-14,1711,50640.0,50850.0,50370.0,50380,50580,51270,285450,189556,-2666,
2017-09-15,1711,50380.0,50620.0,50170.0,50380,50400,50580,229932,190910,1354,
2017-09-18,1711,50240.0,50790.0,49860.0,50700,50350,50400,284904,189400,-1510,
2017-09-19,1711,50650.0,50910.0,50460.0,50730,50730,50350,177744,187630,-1770,
