"Date","Price","Open","High","Low","Vol.","Change %"
"08/05/2025","2,865.63","2,895.72","2,901.83","2,854.66","18.03M","-0.51%"
"08/04/2025","2,880.23","2,854.69","2,880.23","2,840.10","17.77M","-0.16%"
"08/01/2025","2,884.84","2,935.51","2,935.51","2,868.49","25.04M","-2.22%"
"07/31/2025","2,950.42","2,984.54","2,990.05","2,942.23","24.84M","-1.06%"
"07/30/2025","2,982.18","2,945.43","2,982.18","2,937.20","26.72M","1.06%"
"07/29/2025","2,950.95","2,905.65","2,957.81","2,903.89","18.91M","1.53%"
"07/28/2025","2,906.60","2,983.63","2,987.08","2,901.84","17.73M","-1.90%"
"07/25/2025","2,962.94","2,954.79","2,962.94","2,936.00","17.73M","-0.18%"
"07/24/2025","2,968.34","2,962.10","2,968.34","2,941.64","16.54M","0.74%"
"07/23/2025","2,946.62","2,951.09","2,970.64","2,932.80","22.32M","0.59%"
"07/22/2025","2,929.23","2,937.01","2,940.98","2,914.11","16.32M","-0.70%"
"07/21/2025","2,949.94","2,973.14","2,974.69","2,933.42","16.56M","-0.48%"
"07/18/2025","2,964.25","2,933.92","2,978.18","2,932.68","24.31M","2.01%"
"07/17/2025","2,905.75","2,880.13","2,908.34","2,857.72","19.84M","1.30%"
"07/16/2025","2,868.56","2,872.38","2,879.21","2,852.53","18.44M","-0.07%"
"07/15/2025","2,870.53","2,894.35","2,910.41","2,858.57","19.10M","-0.32%"
"07/14/2025","2,879.77","2,855.22","2,879.77","2,844.90","15.76M","0.66%"
"07/11/2025","2,860.93","2,851.97","2,863.74","2,837.95","17.47M","0.36%"
"07/10/2025","2,850.58","2,905.62","2,910.03","2,846.77","36.35M","-1.63%"
"07/09/2025","2,897.67","2,894.68","2,903.14","2,872.16","33.30M","0.28%"
"07/08/2025","2,889.54","2,875.78","2,890.62","2,872.77","28.27M","0.97%"
"07/07/2025","2,861.78","2,863.12","2,874.14","2,845.31","11.66M","-0.11%"
"07/04/2025","2,864.98","2,876.59","2,886.17","2,844.21","14.24M","-0.77%"
"07/03/2025","2,887.17","2,856.18","2,895.08","2,856.08","26.29M","1.67%"
"07/02/2025","2,839.82","2,830.92","2,845.60","2,818.37","22.26M","0.47%"
"07/01/2025","2,826.50","2,843.48","2,862.78","2,819.91","22.30M","-0.66%"
