date,usa_sp500,usa_dow_jones,usa_nasdaq_composite,china_csi300,chile_ipsa,peru_bvl_general,germany_dax,japan_nikkei225,india_nifty50,south_korea_kospi,indonesia_jakarta_composite,turkey_bist100,uk_ftse100,hong_kong_hang_seng,australia_asx200,canada_tsx_composite,poland_wig20
2019-04-01,2903.799979073661,26401.57738095238,7994.9209216889885,4014.042857142857,5236.100476190476,20896.5,12067.97802734375,21964.85615234375,11666.452765213815,2212.120439009233,6447.6969572368425,961.2634800502232,7434.209985351563,29881.954769736843,6268.0157277960525,16470.40001860119,2368.516
2019-05-01,2854.705910422585,25744.788529829544,7804.820867365057,3659.6375,4979.929047619047,19922.77,12079.569557883522,21218.38003700658,11592.022727272728,2086.8981177920386,6103.299130394345,882.8650457208806,7275.271437872024,28132.274925595237,6374.782587466033,16316.76376065341,2204.1880952380952
2019-06-01,2890.165979003906,26160.10087890625,7825.459008789063,3713.253684210527,5038.913,20622.79,12164.201017680922,21060.20703125,11839.023694490132,2105.3031841077304,6297.607649739583,936.09618063534,7359.3099609375,27718.042660361843,6545.310469777961,16322.645166015625,2290.946842105263
2019-07-01,2996.1136363636365,27089.18670099432,8205.598677201704,3834.0200000000004,5034.722272727273,19957.26,12406.857421875,21593.676491477272,11523.110903532608,2079.480017620584,6387.301481827446,1004.677226673473,7549.256538722826,28465.299538352272,6717.41306470788,16515.04083806818,2321.156956521739
2019-08-01,2897.450450550426,26057.728071732956,7910.933238636364,3735.87,4777.868095238095,19106.75,11719.74951171875,20629.677176339286,10976.49990234375,1944.2376243954614,6262.873046875,974.4231635199653,7203.500046502976,25987.113725142044,6543.649991122159,16243.066592261905,2122.6019047619047
2019-09-01,2982.156005859375,26900.21396484375,8087.699975585938,3904.3269999999998,4940.061111111111,19602.71,12285.253441220239,21585.458881578947,11124.28962787829,2045.205258018092,6259.7450939360115,1013.774187360491,7319.957147507441,26474.269996279763,6665.714285714285,16683.2453125,2167.5495238095236
2019-10-01,2977.675197435462,26736.797724184784,8079.27829908288,3894.673888888889,5028.5995454545455,19904.87,12538.201837713068,22197.474702380954,11482.997275904605,2065.7476109095983,6159.33493970788,993.2666847922585,7221.273883322011,26458.149460565477,6654.20458984375,16403.16357421875,2164.733913043478
2019-11-01,3104.9044921875,27797.04609375,8517.57744140625,3914.8357142857144,4658.282499999999,20078.0,13200.829520089286,23278.08759765625,11964.13251953125,2128.7947591145835,6125.937127976191,1044.6618100120909,7348.333310081845,26979.03590029762,6746.776204427083,16925.99534970238,2218.991052631579
2019-12-01,3176.74951171875,28167.005766369046,8778.59193638393,3961.828636363636,4723.175499999999,20526.13,13193.275607638889,23660.375558035714,12096.88099888393,2147.0134887695312,6217.980391652961,1105.5850481305804,7403.669946289063,27264.28515625,6764.844995117188,17019.95986328125,2106.6222222222223
2020-01-01,3278.202857607887,28879.994326636905,9233.35997953869,4145.441875,4776.707727272727,19834.9,13370.52352627841,23642.921566611843,12183.065132472826,2203.44248046875,6225.773082386364,1191.1279019442472,7558.004527698864,28214.3474609375,6957.676223028274,17381.995649857956,2145.9038095238093
2020-02-01,3277.3141832853617,28519.73159950658,9418.85002055921,3986.888,4541.0115,18264.3,13330.550537109375,23180.366319444445,11948.821186266447,2167.123486328125,5855.487744140625,1179.324658203125,7313.4449462890625,27214.74404296875,6982.3150634765625,17542.689453125,2056.21
2020-03-01,2652.393632368608,22637.420809659092,7772.205832741477,3842.647272727273,3580.473181818182,14463.96,10034.25674715909,18974.003813244046,9426.311941964286,1786.7463600852273,4786.916143508184,953.0457708185369,5741.890935724432,24107.045987215908,5426.195467862216,13757.1318359375,1542.5204545454544
2020-04-01,2761.9752255394346,23293.899832589286,8292.407180059523,3802.8814285714284,3769.7576190476193,14779.28,10374.506982421875,19208.35509672619,9063.583333333334,1849.5889892578125,4600.977841331845,962.6378638857886,5729.350024414062,24008.81722861842,5313.889965820313,14071.476143973214,1594.243
2020-05-01,2919.6084838867187,24271.02138671875,9105.65546875,3909.7250000000004,3763.4536842105263,15580.85,10993.741015625,20543.261284722223,9192.013055098685,1965.1742136101973,4599.330963134766,1008.571242388557,5956.321006373355,23807.5751953125,5502.3857421875,14903.835009765626,1632.0245
